callToLandline,callToCellphone,surf_abroad,surf_abroad_sms_word,country,surfAbroadPrices
"20,27","20,27",,,country48,
"0,57","1,97",99,20MB Ryssland,country171,country171
"3,97","3,97",,,country49,
"1,97","1,97",,,country170,
"1,27","3,47",,,country46,
"3,67","3,67",,,country173,
"4,57","4,57",,,country47,
"7,57","7,57",,,country172,
"16,07","16,07",,,country40,
"7,97","7,97",,,country179,
"0,47","1,97",,,country41,
"6,97","6,97",,,country178,
"1,67","1,67",,,country44,
"177","177",,,country175,
"11,57","11,57",,,country45,
"2,97","2,97",,,country174,
"1,27","1,47",,,country42,
"10,97","10,97",,,country177,
"7,27","7,27",,,country43,
"3,67","3,67",,,country176,
"2,97","2,97",,,country57,
"7,57","7,57",,,country162,
"0,57","3,47",,,country58,
"1,87","1,87",,,country161,
"1,97","2,27",,,country59,
"1,97","1,97",,,country160,
"1,87","2,87",,,country50,
"0,09","0,69",,,country169,
"1,67","1,67",,,country51,
"4,17","4,17",,,country168,
"2,27","2,27",,,country52,
"0,77","0,77",69,20MB PuertoRico,country167,country167
"1,17","1,17",99,20MB Egypten,country53,country53
"0,57","3,47",,,country166,
"2,97","2,97",,,country54,
"0,19","0,99",,,country165,
"1,57","1,67",,,country55,
"0,57","2,57",,,country164,
"2,37","2,37",,,country56,
"1,67","1,67",,,country163,
"1,17","1,97",,,country149,
"2,47","2,47",99,20MB AE,country68,country68
"7,57","7,57",,,country151,
"1,67","1,67",,,country69,
"7,57","7,57",,,country150,
"2,97","2,97",,,country66,
"1,07","3,47",,,country7,
"5,57","5,57",,,country67,
"1,47","1,47",,,country6,
"1,27","3,47","23,20",50MB Norge,country152,country152
"0,57","3,47",,,country64,
"2,77","2,77",,,country9,
"7,57","7,57",,,country155,
"2,97","3,97",,,country65,
"1,97","2,97",,,country8,
"7,57","7,57",,,country154,
"0,97","1,57",,,country62,
"2,67","3,67",,,country157,
"0,39","0,99",,,country63,
"0,97","3,47",,,country156,
"17,27","17,27",,,country60,
"7,57","7,57",,,country159,
"4,37","4,37",,,country61,
"0,69","0,79",,,country158,
"2,17","2,17",,,country70,
"1,07","1,07",,,country138,
"1,97","1,97",,,country139,
"0,77","0,77",,,country4,
"1,57","2,57",,,country2,
"0,45","1,97",,,country3,
"1,77","1,87",,,country79,
"3,67","3,67",,,country140,
"2,77","2,97",,,country75,
"0,57","3,47",,,country144,
"6,87","6,87",,,country76,
"10,97","10,97",,,country143,
"1,07","3,47",,,country77,
"1,77","2,77",,,country142,
"0,77","0,77",,,country78,
"2,27","2,27",,,country141,
"1,97","1,97",,,country71,
"1,97","2,27",,,country148,
"1,37","1,97",,,country72,
"2,37","3,67",,,country147,
"0,77","3,37",,,country73,
"3,47","3,47",,,country146,
"0,57","3,47",,,country74,
"1,97","1,97",,,country145,
"5,57","5,57",,,country10,
"1,37","2,57",,,country12,
"0,77","2,97",,,country11,
"5,57","5,57",,,country14,
"2,67","2,67",,,country13,
"12,17","12,17",,,country16,
"1,07","3,47",99,20MB Australien,country15,country15
"2,77","2,77",,,country18,
"12,17","12,17",,,country17,
"0,97","0,97",,,country19,
"0,57","3,47",,,country23,
"2,37","3,37",,,country196,
"2,87","2,87",,,country22,
"0,97","2,97",69,20MB Sydafrika,country197,country197
"1,07","3,47",,,country198,
"0,97","0,97",,,country21,
"0,69","1,09",,,country199,
"2,17","2,17",,,country20,
"0,97","1,27",,,country29,
"2,29","2,99",,,country190,
"2,87","2,87",,,country28,
"0,57","3,47",,,country191,
"2,17","2,17",,,country27,
"2,07","2,67",,,country192,
"2,17","2,17",,,country26,
"0,57","3,47",,,country193,
"1,67","1,67",,,country194,
"2,97","2,97",,,country24,
"2,97","2,97",,,country195,
"0,97","1,47",,,country32,
"1,47","3,47",,,country187,
"2,77","2,77",,,country31,
"0,97","2,47",,,country188,
"1,67","1,67",,,country34,
"2,67","2,67",,,country185,
"2,67","2,67",,,country33,
"3,67","3,67",,,country186,
"0,79","1,89",,,country30,
"0,57","3,47",,,country189,
"2,67","2,67",,,country39,
"60,67","60,67",,,country180,
"2,97","2,97",,,country36,
"2,17","2,17",,,country183,
"0,87","3,27",,,country35,
"0,89","2,19",,,country184,
"1,67","1,67",,,country38,
"0,79","1,89",,,country181,
"3,97","3,97",,,country37,
"0,57","3,47","39,20",20MB Zon2,country182,country182
"1,67","2,97",,,country229,
"1,67","2,97",,,country228,
"21,47","21,47",,,country227,
"2,67","2,87",,,country226,
"15,57","15,57",,,country231,
"0,57","1,57",,,country232,
"0,57","3,47",,,country230,
"1,29","1,79",,,country233,
"1,97","1,97",,,country234,
"0,19","1,79",,,country216,
,,,,country215,
"1,77","2,77",,,country218,
"0,97","0,97",69,20MB USA,country217,country217
"1,27","1,27",,,country219,
"0,57","3,47",,,country220,
"1,67","3,17",,,country221,
"1,47","1,47",,,country222,
"7,97","7,97",,,country223,
"0,97","2,97",,,country224,
"2,97","2,97",,,country225,
"3,27","3,27",,,country83,
"2,17","2,67",,,country136,
"3,47","3,47",,,country82,
"0,57","3,47",,,country137,
"1,07","3,47",,,country85,
"1,47","3,47",,,country134,
"3,87","3,87",,,country84,
"6,17","6,17",,,country135,
"1,47","1,97",,,country87,
"3,17","3,17",,,country132,
"0,19","0,19",,,country86,
"2,37","2,37",,,country133,
"0,39","0,69",,,country89,
"6,17","6,17",,,country130,
"0,67","1,17",,,country88,
"2,67","4,67",,,country131,
"1,97","2,87",,,country129,
"3,67","3,67",,,country80,
"1,47","4,47",,,country128,
"7,77","7,77",,,country81,
"3,17","3,17",,,country127,
"2,27","2,27",,,country96,
"1,67","3,47",,,country123,
"1,07","3,47",99,20MB Japan,country95,country95
"1,17","1,17",,,country124,
"2,77","2,77",,,country94,
"0,77","1,77",,,country125,
"0,57","3,47",,,country93,
"3,37","3,37",,,country126,
"3,47","3,47",,,country99,
"0,57","3,47",,,country120,
"3,67","3,67",,,country98,
"1,37","1,37",,,country121,
"0,97","0,97",,,country97,
"2,77","2,77",,,country122,
"0,57","3,47",,,country91,
"2,97","3,17",,,country117,
"0,77","1,67",,,country92,
"2,97","2,97",,,country116,
"0,97","3,47",,,country119,
"0,57","3,47",,,country90,
"0,97","4,47",,,country118,
"0,57","2,57",,,country110,
"1,07","1,57",,,country111,
"1,27","3,47",,,country114,
"0,59","1,79",,,country115,
"2,17","2,17",,,country112,
"2,97","2,97",,,country113,
"9,97","9,97",,,country208,
"6,67","6,67",,,country209,
"0,47","2,27",,,country206,
"2,67","2,67",,,country207,
"3,17","3,17",,,country204,
"0,87","0,87",69,20MB Thailand,country205,country205
"7,57","7,57",,,country214,
"1,97","1,97",,,country213,
"2,17","2,17",,,country212,
"1,67","2,27",,,country210,
"0,29","0,99",69,20MB Turkiet,country211,country211
"2,17","2,17",,,country108,
"5,57","5,57",,,country107,
"7,47","7,47",,,country106,
"1,67","1,67",,,country105,
"0,97","2,97",,,country109,
"0,97","0,97",69,20MB Kanada,country100,country100
"3,27","3,27",,,country101,
"2,17","2,17",,,country102,
"1,47","1,67",,,country103,
"0,09","0,19",99,20MB Kina,country104,country104
"2,67","2,67",,,country201,
"12,37","12,37",,,country200,
"2,97","3,17",,,country203,
"1,47","3,47",,,country202,
